,index,Sesion,Fecha,Mes_dia,Semana
0,8,9,2024-09-10,Sep 10,1
1,9,10,2024-09-12,Sep 12,1
2,10,11,2024-09-17,Sep 17,2
3,11,12,2024-09-19,Sep 19,2
4,12,13,2024-09-24,Sep 24,3
5,13,14,2024-09-26,Sep 26,3
6,14,15,2024-10-01,Oct 01,4
7,15,16,2024-10-03,Oct 03,4
8,16,17,2024-10-08,Oct 08,5
9,17,18,2024-10-10,Oct 10,5
10,18,19,2024-10-15,Oct 15,6
11,19,20,2024-10-17,Oct 17,6
12,20,21,2024-10-22,Oct 22,7
13,21,22,2024-10-24,Oct 24,7
14,22,23,2024-10-29,Oct 29,8
15,23,24,2024-10-31,Oct 31,8
16,24,25,2024-11-05,Nov 05,9
17,25,26,2024-11-07,Nov 07,9
18,26,27,2024-11-12,Nov 12,10
19,27,28,2024-11-14,Nov 14,10
20,28,29,2024-11-19,Nov 19,11
21,29,30,2024-11-21,Nov 21,11
22,30,31,2024-11-26,Nov 26,12
23,31,32,2024-11-28,Nov 28,12
24,32,33,2024-12-03,Dic 03,13
25,33,34,2024-12-05,Dic 05,13
26,34,35,2024-12-10,Dic 10,14
27,35,36,2024-12-12,Dic 12,14
28,36,37,2024-12-17,Dic 17,15
